run,goal_id,result,time_sec,notes,recovery,recovery_types,recovery_hits,bt_start_line,bt_end_line
1,8cc488459f544b2f7fe6cb4c1687c4dc,S,14.181,W4D4 B run_01,N,,0,0,908
2,bb36668c6cc8923f63fa8ff542b56b47,S,12.561,W4D4 B run_02,N,,0,16160,17068
3,038f25262fd5b0bda94fa1f6a76ad980,S,13.882,W4D4 B run_03,N,,0,18669,19577
4,ed8398a63768279d77d4037d6fc95950,S,12.660,W4D4 B run_04,N,,0,27174,28082
5,a7641ac3adb31d59ed733b0499bb716e,S,12.761,W4D4 B run_05,N,,0,38653,39561
6,94c107318325918efbe817532a0033d8,S,12.361,W4D4 B run_06,N,,0,54876,55721
7,a0f82a7b7bf3f183290128a6f89a2123,S,12.661,W4D4 B run_07,N,,0,63201,64109
8,31aef27d1e08f610aae1b1dee4a99e9c,S,12.861,W4D4 B run_08,N,,0,74806,75714
9,314028c39c9374bf4991c5cda5b6f5eb,S,14.303,W4D4 B run_09,N,,0,77791,78699
10,adcbffda1f965c05c08c44f6c31c0cfe,S,12.660,W4D4 B run_10,N,,0,80393,81301
11,87bc2f9d30bdab39064f329766235320,S,12.761,W4D4 B run_11,N,,0,96091,96999
12,e907cf3a04ea6b18324fe54913213ea9,S,13.161,W4D4 B run_12,N,,0,98887,99795
13,84107487b21c6434336cde70fdc0a7f7,S,12.961,W4D4 B run_13,N,,0,101494,102402
14,cbb2d3cd38ba1fc9f0913365b27ba5ac,S,12.761,W4D4 B run_14,N,,0,111022,111930
15,6300e799db423bcbe08a3a4d0c143475,S,13.779,W4D4 B run_15,N,,0,137349,138257
16,770646bdb50dd71ec58aac61e7540f06,S,12.760,W4D4 B run_16,N,,0,139795,140703
17,df89f234a2e4d78397b93a587c912f99,S,12.661,W4D4 B run_17,N,,0,142304,143212
18,aa55d8821db32bc763b8ed43b53546a4,S,13.725,W4D4 B run_18,N,,0,150352,151260
19,4ac95cfc14cf76bd06df91e6c19899ba,S,12.661,W4D4 B run_19,N,,0,176378,177286
20,3e4de4049d0e1843ae24cee59a8c22db,S,12.661,W4D4 B run_20,N,,0,180058,180966
